Date,TRY,RUB,EGP,BRL,ARS,COP,ZAR,KRW
2020-01-02,5.9523,62.0258,16.001,4.0189,59.8301,3246.4348,14.0439,1156.1545
2020-01-03,5.9615,61.9201,15.9764,4.0311,59.8289,3267.1739,14.1455,1160.5917
2020-01-04,5.9683,61.9461,15.9746,4.0466,59.8065,3278.9565,14.2387,1164.1479
2020-01-05,5.9686,61.9549,15.9746,4.0474,59.8065,3278.9565,14.2451,1164.3388
2020-01-06,5.9712,61.9668,15.995,4.048,59.7651,3288.3696,14.2499,1166.0717
2020-01-07,5.9733,61.9249,16.0308,4.0605,59.7773,3256.8496,14.2635,1167.3723
2020-01-08,5.9607,61.8379,16.0447,4.068,59.8119,3218.625,14.2578,1167.6208
2020-01-09,5.9204,61.5586,16.0261,4.0643,59.8039,3208.2292,14.2186,1164.7925
2020-01-10,5.8825,61.2989,15.9684,4.073,59.8016,3259.9321,14.2303,1160.2069
2020-01-11,5.8727,61.2805,15.9277,4.0803,59.7881,3324.7391,14.2633,1159.0301
2020-01-12,5.8729,61.2808,15.9277,4.0803,59.7881,3324.7391,14.2627,1159.0502
2020-01-13,5.8687,61.1842,15.9473,4.0949,59.8071,3337.5,14.3051,1158.9859
2020-01-14,5.8729,61.2296,15.9236,4.1254,59.8922,3295.2554,14.3842,1158.1553
2020-01-15,5.8818,61.4258,15.8676,4.1467,59.9827,3229.0625,14.4063,1157.0648
2020-01-16,5.8724,61.5296,15.8374,4.1619,59.9728,3287.2201,14.4011,1157.3036
2020-01-17,5.8687,61.5592,15.7901,4.1758,59.9678,3359.5,14.4209,1158.5016
2020-01-18,5.8751,61.5372,15.7603,4.1799,59.9969,3362.4348,14.4332,1159.2301
2020-01-19,5.8768,61.533,15.7603,4.1795,59.9969,3362.4348,14.4365,1159.4731
2020-01-20,5.8951,61.5349,15.7837,4.1801,59.9899,3358.1304,14.4746,1159.2449
2020-01-21,5.9198,61.6512,15.7631,4.1875,59.9965,3350.6739,14.5028,1162.3852
2020-01-22,5.9261,61.8382,15.7347,4.195,60.0323,3348.7609,14.4527,1165.6297
2020-01-23,5.9272,61.9076,15.7442,4.1855,60.0709,3353.5217,14.3985,1166.6876
2020-01-24,5.9287,61.8655,15.7348,4.1752,60.0802,3356.6522,14.3903,1167.6084
2020-01-25,5.9341,61.8603,15.7314,4.1752,60.0732,3356.2609,14.3928,1168.0513
2020-01-26,5.9412,61.8886,15.7314,4.1754,60.0732,3356.2609,14.3974,1168.8739
2020-01-27,5.9438,62.1905,15.7348,4.1892,60.0877,3366.2174,14.4648,1171.0458
2020-01-28,5.9454,62.5844,15.7583,4.2024,60.1324,3401.413,14.5683,1175.7832
2020-01-29,5.9485,62.6118,15.7784,4.2001,60.1626,3426.6522,14.6079,1178.4835
